Eg,Eic,eff
0.25,0.21,17.67419511
0.25,0.22,17.62110833
0.25,0.23,17.56594917
0.25,0.24,17.50878869
0.26,0.01,18.12049562
0.26,0.02,18.18208963
0.26,0.03,18.24180939
0.26,0.04,18.29960386
0.26,0.05,18.3554178
0.26,0.06,18.40917887
0.26,0.07,18.45948233
0.26,0.08,18.42267722
0.26,0.09,18.35059186
0.26,0.1,18.2776998
0.26,0.11,18.2043015
0.26,0.12,18.13083454
0.26,0.13,18.05707619
0.26,0.14,18.13096445
0.26,0.15,18.20473082
0.26,0.16,18.27782798
0.26,0.17,18.35105277
0.26,0.18,18.42370644
0.26,0.19,18.45279436
0.26,0.2,18.40547398
0.26,0.21,18.35314432
0.26,0.22,18.29814079
0.26,0.23,18.24097887
0.26,0.24,18.18169796
0.26,0.25,18.12038796
0.27,0.01,18.7223138
0.27,0.02,18.78816736
0.27,0.03,18.85212593
0.27,0.04,18.91413744
0.27,0.05,18.97414622
0.27,0.06,19.03208491
0.27,0.07,19.08761418
0.27,0.08,19.08511599
0.27,0.09,19.00843272
0.27,0.1,18.93050326
0.27,0.11,18.85198381
0.27,0.12,18.77315919
0.27,0.13,18.69422015
0.27,0.14,18.69425605
0.27,0.15,18.77347373
0.27,0.16,18.85250137
0.27,0.17,18.93076621
0.27,0.18,19.00912382
0.27,0.19,19.08645578
0.27,0.2,19.08108948
0.27,0.21,19.0283983
0.27,0.22,18.97179675
0.27,0.23,18.91260942
0.27,0.24,18.85124744
0.27,0.25,18.78775002
0.27,0.26,18.72219855
0.28,0.01,19.31406504
0.28,0.02,19.38426565
0.28,0.03,19.45255366
0.28,0.04,19.51887598
0.28,0.05,19.58317635
0.28,0.06,19.64538988
0.28,0.07,19.70538327
0.28,0.08,19.74225555
0.28,0.09,19.66202888
0.28,0.1,19.57899504
0.28,0.11,19.49523382
0.28,0.12,19.4109335
0.28,0.13,19.32665434
0.28,0.14,19.24200275
0.28,0.15,19.32680257
0.28,0.16,19.41147288
0.28,0.17,19.49586146
0.28,0.18,19.57943809
0.28,0.19,19.66301355
0.28,0.2,19.73950755
0.28,0.21,19.69920752
0.28,0.22,19.64167899
0.28,0.23,19.58074076
0.28,0.24,19.51727895
0.28,0.25,19.45162546
0.28,0.26,19.38382177
0.28,0.27,19.31394193
0.29,0.01,19.51356889
0.29,0.02,19.58562569
0.29,0.03,19.65582176
0.29,0.04,19.72410491
0.29,0.05,19.79042015
0.29,0.06,19.854706
0.29,0.07,19.91686701
0.29,0.08,19.9746488
0.29,0.09,19.9150002
0.29,0.1,19.82989064
0.29,0.11,19.74385456
0.29,0.12,19.65722701
0.29,0.13,19.57037388
0.29,0.14,19.48335422
0.29,0.15,19.48339414
0.29,0.16,19.57071351
0.29,0.17,19.6578401
0.29,0.18,19.74408621
0.29,0.19,19.83053976
0.29,0.2,19.91631018
0.29,0.21,19.96389449
0.29,0.22,19.91113983
0.29,0.23,19.85107088
0.29,0.24,19.78797622
0.29,0.25,19.72249289
0.29,0.26,19.65487601
0.29,0.27,19.58517077
0.3,0.01,20.46628532
0.3,0.02,20.54542297
0.3,0.03,20.62262183
0.3,0.04,20.6978269
0.3,0.05,20.7709805
0.3,0.06,20.84201948
0.3,0.07,20.91085888
0.3,0.08,20.97541711
0.3,0.09,20.95585378
0.3,0.1,20.86271883
0.3,0.11,20.76818282
0.3,0.12,20.67293434
0.3,0.13,20.57711518
0.3,0.14,20.48142226
0.3,0.15,20.38526174
0.3,0.16,20.48159047
0.3,0.17,20.57778211
0.3,0.18,20.6736901
0.3,0.19,20.7686053
0.3,0.2,20.86367719
0.3,0.21,20.95761242
0.3,0.22,20.96667527
0.3,0.23,20.90504691
0.3,0.24,20.83817822
0.3,0.25,20.76834277
0.3,0.26,20.69608137
0.3,0.27,20.62158947
0.3,0.28,20.5449239
0.3,0.29,20.46614597
0.31,0.01,21.02622958
0.31,0.02,21.10994763
0.31,0.03,21.19171819
0.31,0.04,21.27148537
0.31,0.05,21.3491907
0.31,0.06,21.42477114
0.31,0.07,21.49814872
0.31,0.08,21.56905397
0.31,0.09,21.59516414
0.31,0.1,21.49775872
0.31,0.11,21.39774804
0.31,0.12,21.29686323
0.31,0.13,21.19532745
0.31,0.14,21.09365648
0.31,0.15,20.9917385
0.31,0.16,20.99178568
0.31,0.17,21.09404902
0.31,0.18,21.19610269
0.31,0.19,21.29754201
0.31,0.2,21.39840235
0.31,0.21,21.49907228
0.31,0.22,21.59518491
0.31,0.23,21.55964887
0.31,0.24,21.49237621
0.31,0.25,21.42083615
0.31,0.26,21.34642282
0.31,0.27,21.26966092
0.31,0.28,21.19063144
0.31,0.29,21.10941975
0.31,0.3,21.02608175
0.32,0.01,21.5750571
0.32,0.02,21.6634239
0.32,0.03,21.74983737
0.32,0.04,21.83424071
0.32,0.05,21.91657471
0.32,0.06,21.99677617
0.32,0.07,22.07477096
0.32,0.08,22.15041083
0.32,0.09,22.21823594
0.32,0.1,22.12808017
0.32,0.11,22.02260364
0.32,0.12,21.91599713
0.32,0.13,21.80866295
0.32,0.14,21.70080541
0.32,0.15,21.59305247
0.32,0.16,21.48479155
0.32,0.17,21.59324223
0.32,0.18,21.70154832
0.32,0.19,21.8095619
0.32,0.2,21.91639511
0.32,0.21,22.02354374
0.32,0.22,22.12983279
0.32,0.23,22.20218085
0.32,0.24,22.14148348
0.32,0.25,22.06898318
0.32,0.26,21.99273295
0.32,0.27,21.91367087
0.32,0.28,21.83233455
0.32,0.29,21.74869472
0.32,0.3,21.66286664
0.32,0.31,21.57490041
0.33,0.01,22.11252084
0.33,0.02,22.2056002
0.33,0.03,22.29672314
0.33,0.04,22.38583202
