wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
656,9.6544123e-06,0,0.023948745,0.013018871,0.020828248,-2.7631301e-20,5.2103908e-06,0.044767686,0.0577836,0.057797853
657,1.0793375e-05,0,0.02671401,0.014550379,0.023441699,-3.0353746e-20,6.0644245e-06,0.050144934,0.064692215,0.064708448
658,1.0834141e-05,0,0.026754676,0.014600389,0.02368781,-2.9890279e-20,6.3340249e-06,0.050431352,0.065028857,0.065045463
659,1.0905842e-05,0,0.026871015,0.014691546,0.024004027,-2.9470861e-20,6.6304618e-06,0.050863569,0.065552455,0.065569493
660,1.0863837e-05,0,0.026706787,0.014629088,0.024071349,-2.8710994e-20,6.8643335e-06,0.0507665,0.065393193,0.065410495
661,1.0778694e-05,0,0.026436848,0.014508258,0.024042264,-2.7817024e-20,7.0734522e-06,0.050467425,0.064973566,0.064991065
662,1.0797651e-05,0,0.026422091,0.014527297,0.024245553,-2.7171652e-20,7.3545376e-06,0.050655859,0.0651813,0.065199169
663,1.0891444e-05,0,0.02658917,0.014646731,0.024619845,-2.6686514e-20,7.6944335e-06,0.051197117,0.065842245,0.065860615
664,1.1085059e-05,0,0.02699749,0.014900063,0.025225513,-2.6409272e-20,8.116973e-06,0.052210958,0.067109659,0.06712871
665,1.107619e-05,0,0.026910655,0.014881009,0.025374725,-2.5622957e-20,8.4005663e-06,0.052273486,0.067153397,0.06717279
666,1.0996583e-05,0,0.026651407,0.014766941,0.025362147,-2.46685e-20,8.6324465e-06,0.052001966,0.066768068,0.066787676
667,1.1033999e-05,0,0.026674832,0.014810077,0.025620553,-2.3972269e-20,8.9590727e-06,0.052284062,0.067093536,0.067113564
668,1.1225484e-05,0,0.027067969,0.015059953,0.026242145,-2.3590619e-20,9.420765e-06,0.053298992,0.068358558,0.068379292
669,1.1071431e-05,0,0.02662621,0.014846389,0.026058508,-2.2479571e-20,9.5969828e-06,0.052674232,0.067520441,0.067541241
670,1.1050758e-05,0,0.026504743,0.014812008,0.026188079,-2.1654463e-20,9.8872255e-06,0.052682931,0.067494938,0.067516043
671,1.0897297e-05,0,0.02606422,0.014600017,0.026002292,-2.0587338e-20,1.0056739e-05,0.052057421,0.066657585,0.066678732
672,1.0990909e-05,0,0.026213212,0.014719417,0.026407333,-2.0000278e-20,1.0455298e-05,0.052612144,0.06733183,0.067353489
673,1.0974979e-05,0,0.026098461,0.014692463,0.026552825,-1.9220685e-20,1.0754326e-05,0.052643765,0.067336583,0.067358532
674,1.088569e-05,0,0.025807933,0.014567798,0.026521508,-1.8334985e-20,1.0980667e-05,0.052322945,0.066891145,0.066913226
675,1.1011559e-05,0,0.026025033,0.014731558,0.027017588,-1.7827651e-20,1.1427098e-05,0.053037135,0.06776911,0.067791751
676,1.0909902e-05,0,0.025701903,0.014591474,0.026958481,-1.6971629e-20,1.163987e-05,0.052656135,0.067247991,0.067270712
677,1.0967393e-05,0,0.025751594,0.014664876,0.027294622,-1.6390336e-20,1.2022682e-05,0.05304325,0.067708432,0.067731552
678,1.0873167e-05,0,0.025442802,0.014536089,0.027255375,-1.561163e-20,1.22394e-05,0.052696648,0.067232915,0.0672561
679,1.0889838e-05,0,0.02539147,0.014556298,0.027495658,-1.5026715e-20,1.2579745e-05,0.052887128,0.067443426,0.067466895
680,1.0845724e-05,0,0.025195539,0.014496067,0.027587214,-1.3425224e-20,1.2891305e-05,0.052784502,0.067280358,0.067304031
681,1.0895444e-05,0,0.02521416,0.014562055,0.027924854,-1.0106645e-20,1.3397081e-05,0.053142831,0.067704447,0.067728644
682,1.0774889e-05,0,0.024836162,0.014401179,0.02783159,-4.9519972e-21,1.3770066e-05,0.052673832,0.06707434,0.067098787
683,1.070099e-05,0,0.024564465,0.014303277,0.027861443,1.669127e-21,1.4270171e-05,0.052434467,0.066736834,0.06676173
684,1.0703843e-05,0,0.024466738,0.014308496,0.028095824,9.7299247e-21,1.4943601e-05,0.052573847,0.066881179,0.066906798
685,1.0457821e-05,0,0.023799828,0.013981443,0.027677492,1.8714998e-20,1.5325646e-05,0.051491171,0.065471224,0.065497046
686,7.5796529e-06,0,0.017172095,0.010135098,0.020228913,2.1130781e-20,1.1683905e-05,0.037413191,0.047547096,0.04756645
687,8.7474938e-06,0,0.019726315,0.011698741,0.023544649,3.4063477e-20,1.4205497e-05,0.043287584,0.054984732,0.055007874
688,8.7975029e-06,0,0.019745084,0.011767881,0.023883313,4.4856045e-20,1.5067476e-05,0.043647748,0.05541381,0.055437962
689,9.2078503e-06,0,0.020565813,0.012319259,0.025214768,5.8858732e-20,1.6643686e-05,0.04580363,0.05812076,0.058147025
690,9.5907666e-06,0,0.021314828,0.012834205,0.026493573,7.4473992e-20,1.8302459e-05,0.047835332,0.060667088,0.060695539
691,9.8530592e-06,0,0.021786891,0.013187894,0.027458186,9.0728837e-20,1.9852827e-05,0.049275731,0.062460879,0.062491295
692,9.785565e-06,0,0.021525963,0.013100145,0.027511705,1.0482277e-19,2.0814152e-05,0.049071035,0.06216823,0.062199677
693,9.6684397e-06,0,0.021156535,0.012945752,0.027423988,1.1860577e-19,2.1701581e-05,0.048616307,0.061558933,0.061591285
694,9.8483976e-06,0,0.021435138,0.013188933,0.028183102,1.3654813e-19,2.3314879e-05,0.049657459,0.062843004,0.062877316
695,9.8190086e-06,0,0.021255152,0.013151497,0.028349213,1.5215483e-19,2.450088e-05,0.049646102,0.062794031,0.062829643
696,1.0354591e-05,0,0.022291073,0.013870496,0.030161474,1.7759205e-19,2.7212103e-05,0.052499177,0.066365724,0.066404807
697,1.018427e-05,0,0.021802046,0.013643512,0.02992863,1.916809e-19,2.8164839e-05,0.051778925,0.065418388,0.065458375
698,9.9717199e-06,0,0.021226438,0.013359408,0.029563152,2.0439675e-19,2.8993557e-05,0.050838958,0.064194256,0.064234963
699,9.8913506e-06,0,0.020935104,0.013251802,0.029582963,2.1930324e-19,3.02083e-05,0.050568911,0.063816514,0.06385847
700,9.7585645e-06,0,0.020534934,0.013073344,0.02944114,2.3257668e-19,3.1272755e-05,0.050027825,0.063096926,0.063139906
701,9.7602422e-06,0,0.020418969,0.013074341,0.029701933,2.486363e-19,3.2787645e-05,0.050173967,0.063243987,0.063288588
702,9.809607e-06,0,0.020401937,0.01313845,0.030109234,2.6570645e-19,3.4508339e-05,0.050565505,0.063699559,0.063746034
703,1.005405e-05,0,0.02078696,0.013462932,0.031122721,2.8815085e-19,3.699868e-05,0.051966047,0.065424447,0.065473789
704,1.0152772e-05,0,0.020866573,0.013591268,0.031693484,3.0648343e-19,3.9043753e-05,0.052617287,0.066203979,0.066255551
705,1.0091748e-05,0,0.020617635,0.013504763,0.031765601,3.1949131e-19,4.0513998e-05,0.052440032,0.065940278,0.065993287
706,1.0043018e-05,0,0.02039554,0.013433728,0.031872274,3.3208333e-19,4.2046273e-05,0.052323822,0.065753119,0.065807621
707,1.0006597e-05,0,0.020200007,0.013378111,0.032014177,3.4423586e-19,4.3644633e-05,0.052269032,0.065642825,0.065698879
708,1.0035717e-05,0,0.020137551,0.013408965,0.032363613,3.5781968e-19,4.5554958e-05,0.052554739,0.065959505,0.06601748
709,1.0093166e-05,0,0.020131727,0.013476373,0.032804291,3.7161914e-19,4.7634835e-05,0.052987959,0.066460279,0.066520353
710,1.0071768e-05,0,0.019969188,0.013437188,0.032986954,3.8157288e-19,4.9372649e-05,0.053005515,0.066438866,0.066500571
711,1.0002035e-05,0,0.019713032,0.013332281,0.033006047,3.8853831e-19,5.0878306e-05,0.052765125,0.066093842,0.066156858
712,9.8832082e-06,0,0.019363604,0.013160784,0.03285518,3.9228799e-19,5.2118597e-05,0.052260776,0.065418322,0.065482294
713,9.9682886e-06,0,0.019415501,0.013259421,0.033377696,4.0288566e-19,5.444524e-05,0.052831428,0.066087912,0.06615414
714,9.6333787e-06,0,0.018653776,0.012798327,0.032484058,3.9507561e-19,5.4445709e-05,0.051170207,0.063966056,0.064031687
715,9.7333476e-06,0,0.018738493,0.012913858,0.033047063,4.036201e-19,5.6872366e-05,0.051813031,0.064724793,0.064792729
716,8.4964849e-06,0,0.016263879,0.011256385,0.029040839,3.5497489e-19,5.1279977e-05,0.04532358,0.05657853,0.056639229
717,7.9120915e-06,0,0.015059851,0.01046554,0.027219359,3.3181292e-19,4.9282392e-05,0.042291472,0.052756082,0.052813882
718,7.1038763e-06,0,0.013446382,0.009380358,0.024593112,2.9790591e-19,4.5626506e-05,0.038045251,0.047425174,0.047478191
719,7.5830442e-06,0,0.01427495,0.0099945325,0.026412247,3.1671781e-19,5.0179106e-05,0.040687197,0.05068173,0.050739492
720,8.3462909e-06,0,0.015626388,0.01097786,0.029244697,3.448635e-19,5.6896405e-05,0.044864434,0.055843117,0.055908073
721,9.5163789e-06,0,0.017719638,0.01248778,0.03354299,3.8540949e-19,6.6865246e-05,0.051248379,0.063738656,0.063814531
722,8.7952272e-06,0,0.01628671,0.011511683,0.031184321,3.4586822e-19,6.3720422e-05,0.047452502,0.058968453,0.059040459
723,8.1291121e-06,0,0.014969897,0.010609787,0.028991614,3.0737254e-19,6.0741943e-05,0.043940138,0.054556113,0.054624582
724,7.9998621e-06,0,0.014649914,0.010409171,0.028696633,2.8781084e-19,6.1660106e-05,0.043321988,0.05373983,0.053809257
725,8.3320127e-06,0,0.015172877,0.010805788,0.030060411,2.819413e-19,6.6247016e-05,0.045204682,0.056022532,0.056097127
726,8.3648999e-06,0,0.01514726,0.010810545,0.030351349,2.6275885e-19,6.8604279e-05,0.045467458,0.056293446,0.056370771
727,8.0286028e-06,0,0.014456385,0.010337584,0.029295677,2.3053977e-19,6.7912443e-05,0.043720376,0.054076216,0.054152892
728,8.0774941e-06,0,0.014462225,0.010360111,0.029638693,2.0810009e-19,7.0456219e-05,0.044067754,0.054449875,0.054529603
729,8.7107137e-06,0,0.015507601,0.011126819,0.032138525,1.9662521e-19,7.8328056e-05,0.04760949,0.058764129,0.058853
730,8.2717325e-06,0,0.014642483,0.010521283,0.03068513,1.5849061e-19,7.6655837e-05,0.045292448,0.055844123,0.05593135
731,8.9114058e-06,0,0.015685133,0.011285043,0.033235716,1.3850191e-19,8.5079318e-05,0.048883008,0.060205131,0.060302238
732,9.2395064e-06,0,0.01617008,0.01164729,0.03464189,1.0841112e-19,9.0840991e-05,0.050773205,0.062463446,0.062567446
733,9.5505049e-06,0,0.016619206,0.011982856,0.035994689,7.4018884e-20,9.6655341e-05,0.052574707,0.064606573,0.06471756
734,9.4209323e-06,0,0.016300424,0.011763299,0.035688579,3.3992319e-20,9.8097513e-05,0.051951569,0.063767667,0.063880629
735,9.3365375e-06,0,0.016062528,0.011600327,0.03554735,-6.3244327e-21,9.9977363e-05,0.0515743,0.063231225,0.063346652
736,9.3297084e-06,0,0.015959624,0.011533311,0.03569743,-4.749848e-20,0.00010268652,0.051623291,0.063217234,0.063336065
737,9.5120379e-06,0,0.016179296,0.011698174,0.036572129,-9.1485057e-20,0.000107552,0.052719065,0.064482965,0.064607676
738,9.2396411e-06,0,0.015627126,0.01130368,0.035694287,-1.3159591e-19,0.00010726625,0.051292173,0.062663209,0.062787793
739,9.4723465e-06,0,0.015930433,0.011526805,0.036764287,-1.7950474e-19,0.0001128462,0.052667153,0.06426627,0.064397494
740,9.4457821e-06,0,0.015796596,0.011432651,0.03682887,-2.2411736e-19,0.00011540979,0.0526005,0.064108126,0.064242436
741,9.4596779e-06,0,0.015731448,0.011387251,0.037047986,-2.7013951e-19,0.00011846965,0.052757044,0.064221816,0.064359731
742,9.6670731e-06,0,0.015986997,0.011573153,0.038025587,-3.2313862e-19,0.00012402231,0.053992421,0.065646796,0.06579115
743,9.7555816e-06,0,0.016044235,0.011614741,0.038537243,-3.73852e-19,0.00012813806,0.054563885,0.066262074,0.066411115
744,9.7625257e-06,0,0.015967541,0.011558691,0.038724797,-4.2201745e-19,0.00013120554,0.054677466,0.066320563,0.066472986
745,9.753643e-06,0,0.015866109,0.011484148,0.038845912,-4.6946451e-19,0.00013404968,0.054699832,0.06626858,0.06642403
746,9.7717863e-06,0,0.015809736,0.011441731,0.039071047,-5.1809946e-19,0.00013725413,0.05487115,0.066397238,0.066556032
747,9.7268597e-06,0,0.01565278,0.011326135,0.039039713,-5.6297075e-19,0.00013954689,0.05468534,0.066094334,0.066255308
748,9.7072263e-06,0,0.01553835,0.011241028,0.039104923,-6.0857507e-19,0.00014216167,0.0546384,0.065960262,0.066123674
749,9.7086783e-06,0,0.015459136,0.011181201,0.039250691,-6.5486923e-19,0.00014505465,0.054707022,0.065966418,0.066132465
