wl(um)	n	k
0.796	3.644	0.086795
0.797	3.6429	0.086747
0.798	3.6418	0.086715
0.799	3.6407	0.086698
0.8	3.6396	0.086696
0.801	3.6385	0.086709
0.802	3.6375	0.086736
0.803	3.6365	0.086777
0.804	3.6354	0.086833
0.805	3.6345	0.086902
0.806	3.6335	0.086984
0.807	3.6325	0.087079
0.808	3.6316	0.087186
0.809	3.6307	0.087305
0.81	3.6298	0.087434
0.811	3.6289	0.087573
0.812	3.6281	0.087722
0.813	3.6272	0.087878
0.814	3.6264	0.088042
0.815	3.6256	0.088213
0.816	3.6249	0.088388
0.817	3.6242	0.088567
0.818	3.6235	0.088749
0.819	3.6228	0.088932
0.82	3.6221	0.089115
0.821	3.6215	0.089295
0.822	3.6209	0.089473
0.823	3.6203	0.089645
0.824	3.6198	0.08981
0.825	3.6193	0.089966
0.826	3.6188	0.090112
0.827	3.6183	0.090246
0.828	3.6179	0.090367
0.829	3.6174	0.090472
0.83	3.617	0.090561
0.831	3.6166	0.090632
0.832	3.6162	0.090683
0.833	3.6159	0.090715
0.834	3.6155	0.090727
0.835	3.6151	0.090718
0.836	3.6148	0.090689
0.837	3.6144	0.09064
0.838	3.6141	0.090573
0.839	3.6137	0.09049
0.84	3.6133	0.090392
0.841	3.6129	0.090284
0.842	3.6125	0.090167
0.843	3.6121	0.090048
0.844	3.6116	0.08993
0.845	3.6111	0.08982
0.846	3.6106	0.089723
0.847	3.6101	0.089648
0.848	3.6095	0.089602
0.849	3.609	0.089592
0.85	3.6084	0.08963
0.851	3.6078	0.089723
0.852	3.6071	0.089882
0.853	3.6065	0.090118
0.854	3.6059	0.090442
0.855	3.6053	0.090864
0.856	3.6048	0.091396
0.857	3.6043	0.092048
0.858	3.6039	0.092829
0.859	3.6036	0.093746
0.86	3.6035	0.094802
0.861	3.6035	0.095993
0.862	3.6039	0.097305
0.863	3.6046	0.098705
0.864	3.6057	0.10014
0.865	3.6073	0.10151
0.866	3.6095	0.10267
0.867	3.6122	0.10343
0.868	3.6155	0.10353
0.869	3.6192	0.1027
0.87	3.6229	0.10072
0.871	3.6261	0.097538
0.872	3.6285	0.093356
0.873	3.6296	0.088609
0.874	3.6293	0.083841
0.875	3.6279	0.079535
0.876	3.6257	0.075987
0.877	3.623	0.073298
0.878	3.6202	0.071424
0.879	3.6175	0.070243
0.88	3.6149	0.069612
0.881	3.6127	0.069395
0.882	3.6108	0.069472
0.883	3.6091	0.06975
0.884	3.6078	0.070153
0.885	3.6067	0.070624
0.886	3.6058	0.071117
0.887	3.6052	0.071598
0.888	3.6047	0.072041
0.889	3.6045	0.072425
0.89	3.6043	0.072735
0.891	3.6043	0.072959
0.892	3.6044	0.073088
0.893	3.6046	0.073116
0.894	3.6049	0.073041
0.895	3.6052	0.07286
0.896	3.6055	0.072573
0.897	3.6059	0.072182
0.898	3.6062	0.07169
0.899	3.6066	0.071101
0.9	3.6069	0.07042
0.901	3.6073	0.069653
0.902	3.6076	0.068805
0.903	3.6078	0.067885
0.904	3.608	0.066898
0.905	3.6082	0.065853
0.906	3.6083	0.064756
0.907	3.6083	0.063616
0.908	3.6083	0.062438
0.909	3.6082	0.06123
0.91	3.6081	0.059998
0.911	3.6079	0.058749
0.912	3.6076	0.057488
