wl(um)	n	k
0.762	3.7102	0.094419
0.763	3.7092	0.093989
0.764	3.7083	0.093559
0.765	3.7073	0.093129
0.766	3.7065	0.092854
0.767	3.7058	0.092646
0.768	3.705	0.092438
0.769	3.7043	0.092229
0.77	3.7036	0.092021
0.771	3.7028	0.091813
0.772	3.7021	0.091604
0.773	3.7014	0.091396
0.774	3.7007	0.091188
0.775	3.6999	0.09098
0.776	3.6992	0.090776
0.777	3.6985	0.090571
0.778	3.6978	0.090367
0.779	3.6971	0.090163
0.78	3.6964	0.089959
0.781	3.6956	0.089755
0.782	3.6949	0.089551
0.783	3.6942	0.089347
0.784	3.6935	0.089143
0.785	3.6928	0.088941
0.786	3.692	0.088743
0.787	3.6912	0.088545
0.788	3.6904	0.088347
0.789	3.6896	0.088149
0.79	3.6888	0.08795
0.791	3.688	0.087752
0.792	3.6872	0.087554
0.793	3.6864	0.087356
0.794	3.6856	0.087158
0.795	3.6849	0.086961
0.796	3.6843	0.086767
0.797	3.6837	0.086573
0.798	3.6831	0.086379
0.799	3.6826	0.086184
0.8	3.682	0.08599
0.801	3.6814	0.085796
0.802	3.6808	0.085602
0.803	3.6802	0.085408
0.804	3.6796	0.085214
0.805	3.6791	0.085019
0.806	3.6784	0.08483
0.807	3.6777	0.084642
0.808	3.6771	0.084453
0.809	3.6764	0.084264
0.81	3.6758	0.084075
0.811	3.6751	0.083887
0.812	3.6744	0.083698
0.813	3.6738	0.083509
0.814	3.6731	0.083321
0.815	3.6725	0.083132
0.816	3.6718	0.082917
0.817	3.6713	0.082642
0.818	3.6707	0.082367
0.819	3.6702	0.082092
0.82	3.6696	0.081817
0.821	3.6691	0.081541
0.822	3.6685	0.081266
0.823	3.668	0.080991
0.824	3.6674	0.080716
0.825	3.6669	0.08044
0.826	3.6663	0.080165
0.827	3.6656	0.079476
0.828	3.6645	0.078167
0.829	3.6635	0.076858
0.83	3.6624	0.075549
0.831	3.6614	0.07424
0.832	3.6603	0.072931
0.833	3.6592	0.072125
0.834	3.6582	0.071375
0.835	3.6571	0.070625
0.836	3.6561	0.069875
0.837	3.655	0.069125
0.838	3.654	0.068484
0.839	3.6529	0.068098
0.84	3.6518	0.067712
0.841	3.6508	0.067326
0.842	3.6497	0.06694
0.843	3.6487	0.066554
0.844	3.6476	0.066028
0.845	3.6466	0.065407
0.846	3.6455	0.064786
0.847	3.6444	0.064166
0.848	3.6434	0.063545
0.849	3.6423	0.062924
0.85	3.6413	0.062583
0.851	3.6402	0.062312
0.852	3.6392	0.062041
0.853	3.6381	0.061769
0.854	3.637	0.061498
0.855	3.636	0.061227
0.856	3.6349	0.060529
0.857	3.6339	0.059783
0.858	3.6328	0.059037
0.859	3.6318	0.058292
0.86	3.6307	0.057546
0.861	3.6297	0.0568
0.862	3.6286	0.056433
0.863	3.6275	0.056067
0.864	3.6265	0.0557
0.865	3.6254	0.0562
0.866	3.6244	0.0567
0.867	3.6233	0.0572
0.868	3.6223	0.0566
0.869	3.6212	0.056
0.87	3.6201	0.0554
0.871	3.6191	0.046271
0.872	3.618	0.037142
0.873	3.617	0.028013
0.874	3.6159	0.02403
0.875	3.6149	0.020619
0.876	3.6138	0.017207
0.877	3.6127	0.013796
0.878	3.6117	0.010385
0.879	3.6106	0.0069734
0.88	3.6096	0.0054767
0.881	3.6085	0.0048005
0.882	3.6075	0.0041243
0.883	3.6064	0.0034481
0.884	3.6053	0.0027719
0.885	3.6043	0.0020957
0.886	3.6032	0.0016199
0.887	3.6022	0.0014446
0.888	3.6011	0.0012693
0.889	3.6001	0.0010939
0.89	3.599	0.00091863
0.891	3.598	0.00074331
0.892	3.5969	0.000568
0.893	3.5958	0.00051831
0.894	3.5948	0.00046863
0.895	3.5937	0.00041894
0.896	3.5927	0.00036925
0.897	3.5916	0.00031956
0.898	3.5906	0.00026988
0.899	3.5895	0.00023936
0.9	3.5884	0.00022164
0.901	3.5874	0.00016199
0.902	3.5863	0.00014446
0.903	3.5853	0.00012693
0.904	3.5842	0.00010939
0.905	3.5832	9.19E-05
0.906	3.5821	7.43E-05
0.907	3.581	5.68E-05
0.908	3.58	5.18E-05
0.909	3.5789	4.69E-05
0.91	3.5779	4.19E-05
0.911	3.5768	3.69E-05
0.912	3.5758	3.20E-05
0.913	3.5747	2.70E-05
0.914	3.5736	2.39E-05
0.915	3.5726	2.22E-05
0.916	3.5715	1.62E-05
0.917	3.5705	1.44E-05
0.918	3.5694	1.27E-05
0.919	3.5685	1.09E-05
0.92	3.5676	9.19E-06
0.921	3.5668	7.43E-06
0.922	3.5659	5.68E-06
0.923	3.5651	5.50E-06
0.924	3.5642	5.50E-06
0.925	3.5634	5.50E-06
0.926	3.5625	5.50E-06
0.927	3.5616	5.50E-06
0.928	3.5608	5.50E-06
0.929	3.5599	5.50E-06
0.93	3.5591	5.50E-06
0.931	3.5582	5.50E-06
0.932	3.5574	5.50E-06
0.933	3.5565	5.50E-06
0.934	3.5557	5.50E-06
0.935	3.5548	5.50E-06
0.936	3.5539	5.50E-06
0.937	3.5531	5.50E-06
0.938	3.5522	5.50E-06
0.939	3.5514	5.50E-06
0.94	3.5505	5.50E-06
0.941	3.5497	5.50E-06
0.942	3.5488	5.50E-06
0.943	3.548	5.50E-06
0.944	3.5471	5.50E-06
0.945	3.5462	5.50E-06
0.946	3.5454	5.50E-06
0.947	3.5445	5.50E-06
0.948	3.5437	5.50E-06
0.949	3.5428	5.50E-06
0.95	3.542	5.50E-06
0.951	3.5411	5.50E-06
0.952	3.5403	5.50E-06
0.953	3.5394	5.50E-06
0.954	3.5386	5.50E-06
0.955	3.5379	5.50E-06
0.956	3.5373	5.50E-06
0.957	3.5366	5.50E-06
0.958	3.536	5.50E-06
0.959	3.5353	5.50E-06
0.96	3.5347	5.50E-06
0.961	3.534	5.50E-06
0.962	3.5334	5.50E-06
0.963	3.5327	5.50E-06
0.964	3.5321	5.50E-06
0.965	3.5314	5.50E-06
0.966	3.5308	5.50E-06
0.967	3.5301	5.50E-06
0.968	3.5294	5.50E-06
0.969	3.5288	5.50E-06
0.97	3.5281	5.50E-06
0.971	3.5275	5.50E-06
0.972	3.5268	5.50E-06
0.973	3.5262	5.50E-06
0.974	3.5255	5.50E-06
0.975	3.5249	5.50E-06
0.976	3.5242	5.50E-06
0.977	3.5236	5.50E-06
0.978	3.5229	5.50E-06
0.979	3.5222	5.50E-06
0.98	3.5216	5.50E-06
0.981	3.5209	5.50E-06
0.982	3.5203	5.50E-06
0.983	3.5196	5.50E-06
0.984	3.519	5.50E-06
0.985	3.5183	5.50E-06
0.986	3.5177	5.50E-06
0.987	3.517	5.50E-06
0.988	3.5164	5.50E-06
0.989	3.5157	5.50E-06
