wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
756,1.0965025e-05,0,0.016860517,0.01217685,0.045295169,-1.0760739e-18,0.00018539219,0.062159549,0.074375146,0.074577415
757,1.1055436e-05,0,0.016920369,0.012218883,0.045785917,-1.1276608e-18,0.00018981644,0.062709432,0.074955634,0.075160701
758,1.0917907e-05,0,0.016633582,0.012011242,0.04532644,-1.1540205e-18,0.00019025157,0.061961857,0.07398723,0.074190582
759,1.1016716e-05,0,0.01670908,0.012065947,0.045841886,-1.2032867e-18,0.00019472787,0.062550965,0.074616913,0.074822657
760,1.0947244e-05,0,0.016531408,0.011937572,0.045651936,-1.2331238e-18,0.0001961861,0.062180988,0.074104716,0.074309673
761,1.0944757e-05,0,0.016457847,0.011883127,0.045735837,-1.2699489e-18,0.00019879509,0.062188556,0.07404589,0.074251521
762,1.1039537e-05,0,0.016532335,0.01193441,0.046222318,-1.3180528e-18,0.0002031618,0.062746319,0.074644451,0.074852792
763,1.1082218e-05,0,0.016530214,0.011929295,0.046487302,-1.3600711e-18,0.00020657214,0.063005652,0.074889926,0.075100197
764,1.1004409e-05,0,0.016350693,0.011795213,0.046242326,-1.3868549e-18,0.00020769885,0.062577499,0.074321044,0.074531135
765,1.0627312e-05,0,0.015731032,0.011342975,0.044732417,-1.374095e-18,0.00020304283,0.060444634,0.071732413,0.071936721
766,1.0756597e-05,0,0.015864153,0.011432913,0.04534846,-1.4256673e-18,0.00020797748,0.061189527,0.072562555,0.072770937
767,1.0949013e-05,0,0.016090378,0.0115891,0.046229158,-1.4863081e-18,0.00021418017,0.062291793,0.073817117,0.074030991
768,1.0823437e-05,0,0.015850542,0.011408997,0.045764244,-1.5036561e-18,0.00021415263,0.061583085,0.072927405,0.073140709
769,1.0851223e-05,0,0.015837289,0.011391571,0.045943968,-1.5416549e-18,0.00021711353,0.061745149,0.073071305,0.07328717
770,1.0810417e-05,0,0.015725359,0.011302786,0.045830172,-1.5695224e-18,0.00021867619,0.061515254,0.072753269,0.072970446
771,1.0877325e-05,0,0.015771251,0.011327111,0.046170306,-1.61276e-18,0.00022240138,0.061896745,0.073159961,0.073380728
772,1.088445e-05,0,0.015731262,0.011289474,0.046254389,-1.6470103e-18,0.0002248993,0.061936611,0.073164215,0.073387472
773,1.0900779e-05,0,0.015705507,0.011261891,0.046375197,-1.6823714e-18,0.00022757237,0.062027512,0.073230209,0.073456242
774,1.0917313e-05,0,0.015680831,0.011234996,0.046494708,-1.7175083e-18,0.00023023767,0.062118351,0.073297447,0.073526348
775,1.0963019e-05,0,0.015698603,0.011238482,0.046736575,-1.7570632e-18,0.00023351326,0.062374028,0.073560302,0.073792771
776,1.0921851e-05,0,0.015592673,0.011153506,0.046606136,-1.7823521e-18,0.00023492236,0.062134424,0.073240267,0.073474527
777,1.0935158e-05,0,0.015565245,0.01112488,0.046706227,-1.8160929e-18,0.00023748128,0.062203824,0.073285692,0.073522961
778,1.1009694e-05,0,0.015625107,0.011158823,0.047066536,-1.8598974e-18,0.00024137306,0.062620649,0.073741183,0.073982859
779,1.0910833e-05,0,0.015439388,0.011017721,0.046684007,-1.8739851e-18,0.00024144435,0.062050534,0.073035474,0.073277784
780,1.0907749e-05,0,0.015389925,0.010974326,0.046709596,-1.9038814e-18,0.00024360122,0.062024565,0.072971394,0.073216471
781,1.0981815e-05,0,0.015449227,0.011008901,0.047064657,-1.9470865e-18,0.00024748355,0.062436715,0.073423279,0.073672899
782,1.0958542e-05,0,0.015371488,0.01094632,0.047001732,-1.9728201e-18,0.00024917161,0.062294974,0.073224299,0.073476279
783,1.0905536e-05,0,0.015252369,0.010854916,0.046810193,-1.9926433e-18,0.00025015834,0.061983948,0.072827106,0.073080752
784,1.0991032e-05,0,0.015326738,0.010901862,0.047212563,-2.0375099e-18,0.00025431966,0.062459843,0.07335486,0.073613403
785,1.1032292e-05,0,0.015338723,0.010905097,0.047424785,-2.0741632e-18,0.00025747483,0.062684081,0.07358707,0.073849498
786,1.104665e-05,0,0.015312802,0.010882152,0.047521142,-2.1055562e-18,0.00026000625,0.062755334,0.073639812,0.073905487
787,1.100126e-05,0,0.01520383,0.010801052,0.047360135,-2.125136e-18,0.00026111931,0.062487212,0.073294598,0.073562057
788,1.1038663e-05,0,0.015208859,0.01080186,0.047555415,-2.160345e-18,0.00026419092,0.062689449,0.073501226,0.073772453
789,1.0963652e-05,0,0.015058631,0.010693376,0.047266325,-2.1731202e-18,0.00026456073,0.062253487,0.072959718,0.073231909
790,1.0921889e-05,0,0.014953952,0.010618278,0.047120388,-2.1918592e-18,0.00026570687,0.062006678,0.072640161,0.072914073
791,1.0823247e-05,0,0.014771307,0.010488896,0.04672892,-2.1985078e-18,0.00026543963,0.0614374,0.071943088,0.072217216
792,1.0800326e-05,0,0.014691763,0.010433841,0.046664426,-2.2199161e-18,0.00026700453,0.061298456,0.071750062,0.072026243
793,1.0646573e-05,0,0.014434193,0.010253487,0.046034646,-2.2136902e-18,0.00026530024,0.060417578,0.070688811,0.070963602
794,1.0689925e-05,0,0.014443424,0.010263843,0.046257446,-2.2478695e-18,0.00026848675,0.060655862,0.070936937,0.071215337
795,1.0853835e-05,0,0.014613565,0.010389901,0.047003424,-2.3075715e-18,0.00027474392,0.061578679,0.071984587,0.072269718
796,1.1023909e-05,0,0.014789314,0.010521459,0.047778184,-2.3690435e-18,0.00028122594,0.062536956,0.073072195,0.07336422
797,1.0973089e-05,0,0.014666955,0.010442405,0.047597052,-2.3830066e-18,0.00028210018,0.062242822,0.072695461,0.072988477
798,1.0852876e-05,0,0.014451442,0.010298335,0.047115493,-2.3812071e-18,0.0002811614,0.061555996,0.071859949,0.072151982
799,1.0778763e-05,0,0.014296983,0.010199074,0.046834632,-2.3887877e-18,0.00028138403,0.061131615,0.071330689,0.071622852
800,1.0973465e-05,0,0.014497906,0.010356428,0.047725416,-2.4472914e-18,0.00028870845,0.062232775,0.072583056,0.072882844
801,1.099086e-05,0,0.014463661,0.010350421,0.047850526,-2.4496857e-18,0.00029152972,0.06232917,0.07266751,0.072970571
802,1.0837654e-05,0,0.014205681,0.010188275,0.047236315,-2.3984611e-18,0.00028991932,0.061458624,0.071629381,0.071931393
